Snapshot Variable Name,Snapshot Longname,Longname Location,Snapshot Units,Accepted Units,CCPP Standard Name,Accepted,Pushed to ESCOMP,Flag for future work,Flag to skip/deprecate,Notes,Andrew G Description,,,
lat,latitude,snapshot file,degrees north,X,latitude,X,X,,,Jesse,,,,
lon,longitude,snapshot file,degrees east,X,longitude,X,X,,,Cheryl,,,,
gw,latitude weights,snapshot file,1,X,area_weight_wrt_latitude,X,,,X,Courtney,,,,
lev,hybrid level at midpoints,snapshot file,hPa,X,reference_pressure_in_atmosphere_layer,x,X,,,,,,,
hyam,hybrid A coefficient at layer midpoints,snapshot file,1,X,sigma_pressure_hybrid_coordinate_a_coefficient,X,,,,,,,,
hybm,hybrid B coefficient at layer midpoints,snapshot file,1,X,sigma_pressure_hybrid_coordinate_b_coefficient,X,,,,FIX UNITS!,,,,
P0,reference pressure,snapshot file,Pa,X,reference_pressure,X,X,,,,,,,
ilev,hybrid level at interfaces (1000*(A+B)),snapshot file,hPa,X,reference_pressure_in_atmosphere_layer_at_interface,,,,,,,,,
hyai,hybrid A coefficient at layer interfaces,snapshot file,1,X,sigma_pressure_hybrid_coordinate_a_coefficient_at_interface,,,,,,,,,
hybi,hybrid B coefficient at layer interfaces,snapshot file,1,X,sigma_pressure_hybrid_coordinate_b_coefficient_at_interface,,,,,,,,,
trop_cld_lev,troposphere hybrid level at midpoints (1000*(A+B)),snapshot file,hPa,X,,,,only used in PUMAS,X,,,,,
time,time,snapshot file,days since 0001-01-01 00:00:00,,fractional_days_since_model_start,,,,,,,,,
date,current date (YYYYMMDD),snapshot file,,,current_model_date_in_ISO_order,,,year needs to be 0-padded,,,,,,
datesec,current seconds of current date,snapshot file,,,seconds_of_current_model_date,,,,,,,,,
time_bnds,time interval endpoints,snapshot file,,,,,,,X,,,,,
date_written,date time sample written,cam_history_support.F90: line 209,,,,,,,X,,,,,
time_written,time time sample written,cam_history_support.F90: line 210,,,,,,,X,,,,,
ndbase,base day,snapshot file,,,,,,what is using this?,,,,,,
nsbase,seconds of base day,snapshot file,,,,,,what is using this?,,,,,,
nbdate,base date (YYYYMMDD),snapshot file,,,,,,what is using this?,,,,,,
nbsec,seconds of base date,snapshot file,,,,,,what is using this?,,,,,,
mdt,timestep,snapshot file,s,X,timestep_for_physics,,X,,,,,,,
ndcur,current day (from base day),snapshot file,,,,,,what is using this?,,,,,,
nscur,current seconds of current day,snapshot file,,,,,,what is using this?,,,,,,
co2vmr,co2 volume mixing ratio,snapshot file,mol mol-1,,volume_mixing_ratio_of_co2_wrt_dry_air,X,,"Needs to be ""of_co2"" and ""wrt_dry_air""","""wrt_dry_air"" may be redundant, but is clear!",units: check with chemists,,,,
ch4vmr,ch4 volume mixing ratio,snapshot file,,,volume_mixing_ratio_ch4,,,"""",,units: check with chemists,,,,
n2ovmr,n20 volume mixing ratio,snapshot file,,,volume_mixing_ratio_n2o,,,"""",,units: check with chemists,,,,
f11vmr,f11 volume mixing ratio,snapshot file,,,volume_mixing_ratio_cfc11,,,"""",,units: check with chemists,,,,
f12vmr,f12 volume mixing ratio,snapshot file,,,volume_mixing_ratio_cfc12,,,"""",,,,,,
sol_tsi,total solar irradiance,snapshot file,W m-2,X,total_solar_irradiance,,,ask chemist - are we using this?,,,,,,
nstep,current timestep,snapshot file,count,X,current_timestep_number,,,,,,,,,
CAM_IN VARIABLES,,,,,,,,,,,,,,
cam_in_aldif,long wave diffuse albedo,camsrfexch.F90: 91,frac,X,surface_albedo_due_to_near_IR_diffuse,,,,,,,,,
cam_in_aldir,long wave direct albedo,camsrfexch.F90: 90,frac,X,surface_albedo_due_to_near_IR_direct,,,,,,,,,
cam_in_asdif,short wave diffuse albedo,camsrfexch.F90: 93,frac,X,surface_albedo_due_to_UV_and_VIS_diffuse,,,,,,,,,
cam_in_asdir,short wave direct albedo,camsrfexch.F90: 92,frac,X,surface_albedo_due_to_UV_and_VIS_direct,,,,,,,,,
cam_in_cflx,constituent flux (emissions),camsrfexch.F90: 112,kg m-2 s-1,X,surface_upward_ccpp_constituent_fluxes,,,,,,,,,
cam_in_depvel,deposition velocities,camsrfexch.F90: line 119,m s-1,,dry_deposition_velocity,,,Have ACOM check this!,,units: check with chemists,,,,
cam_in_dstflx,dust fluxes,camsrfexch.F90: line 120,kg m-2 s-1,,surface_upward_dust_fluxes,,,Have ACOM check this! Also units!,,units: check with chemists,,,,
cam_in_fv,friction velocity,camsrfexch.F90: line 117,m s-1,X,surface_friction_velocity,X,X,,,,,,,
cam_in_icefrac,sea-ice area fraction,camsrfexch.F90: line 110,frac,X,sea_ice_area_fraction,,,"Need to add rule that ""fraction"" means fraction of atmosphere grid cell",Fraction units?,,,,,
cam_in_landfrac,land area fraction,camsrfexch.F90: line 109,frac,X,land_area_fraction,X,X,,,,,,,
cam_in_lhf,latent heat flux,camsrfexch.F90: line 95,W m-2,X,surface_upward_latent_heat_flux,X,X,,,,,,,
cam_in_lwup,longwave up radiative flux,camsrfexch.F90: line 94,W m-2,X,,,,wait until we finish RRTMGP,,,,,,
cam_in_ocnfrac,ocean area fraction,camsrfexch.F90: line 111,frac,X,ocean_area_fraction,X,,,,,,,,
cam_in_ram1,aerodynamical resistance,camsrfexch.F90: line 116,s m-1,X,,,,Need ACOM to check this,"Also the ""addfld"" units might be wrong",,,,,
cam_in_shf,sensible heat flux,camsrfexch.F90: line 96,W m-2,X,surface_upward_sensible_heat_flux,X,,,,,,,,
cam_in_snowhice,snow depth over ice,camsrfexch.F90: line 105,m,X,lwe_surface_snow_depth_over_ice,X,,,,,,,,
cam_in_snowhland,snow depth (liquid water equivalent) over land,camsrfexch.F90: line 104,m,X,lwe_surface_snow_depth_over_land,X,,,,,,,,
cam_in_sst,sea surface temp,camsrfexch.F90: line 103,K,X,sea_surface_temperature,X,X,,,,,,,
cam_in_ts,merged surface temp,camsrfexch.F90: line 102,K,X,surface_blackbody_temperature (might be same as surface_skin_temperature used by NOAA?),,,"ask NOAA about ""skin"" temperature",,,,,,
cam_in_wsx,surface u-stress,camsrfexch.F90: line 97,N m-2,X,surface_eastward_wind_stress,,,,,Units wrong in camsrfexch.F90,,,,
cam_in_wsy,surface v-stress,camsrfexch.F90: line 98,N m-2,X,surface_northward_wind_stress,,,,,Units wrong in camsrfexch.F90,,,,
CAM_OUT_VARIABLES,,,,,,,,,,,,,,
cam_out_bcphidry,dry deposition of hydrophilic black carbon,camsrfexch.F90: line 66,kg m-2 s-1,,dry_deposition_flux_of_hydrophilic_black_carbon_at_surface,,,,,,,,,
